,latitude,longitude
China,35.000074,104.999927
Afghanistan,33.7680065,66.2385139
Bangladesh,24.4769288,90.2934413
Bolivia (Plurinational State of),-17.0568696,-64.9912286
Brazil,-10.3333333,-53.2
Bhutan,27.549511,90.5119273
Austria,47.59397,14.12456
Chile,-31.7613365,-71.3187697
Armenia,40.7696272,44.6736646
Bosnia and Herzegovina,44.3053476,17.5961467
Australia,-24.7761086,134.755
Angola,-11.8775768,17.5691241
Argentina,-34.9964963,-64.9672817
Azerbaijan,40.3936294,47.7872508
Burundi,-3.426449,29.9324519
Benin,9.5293472,2.2584408
Bulgaria,42.6073975,25.4856617
Bahrain,26.1551249,50.5344606
Belarus,53.4250605,27.6971358
Belize,16.8259793,-88.7600927
Bermuda,32.30382,-64.7561647
Botswana,-23.1681782,24.5928742
Central African Republic,7.0323598,19.9981227
Canada,61.0666922,-107.991707
Switzerland,46.7985624,8.2319736
Burkina Faso,12.0753083,-1.6880314
India,22.3511148,78.6677428
Sri Lanka,7.877395849999999,80.66247852355892
Colombia,4.099917,-72.9088133
Iran (Islamic Republic of),32.6475314,54.5643516
Guatemala,15.5855545,-90.345759
Indonesia,-2.4833826,117.8902853
Japan,36.5748441,139.2394179
Mexico,23.6585116,-102.0077097
Madagascar,-18.9249604,46.4416422
Mongolia,46.8250388,103.8499736
United Kingdom of Great Britain and Northern Ireland (the),52.45777545,-1.869209938214711
Honduras,15.2572432,-86.0755145
Nicaragua,12.6090157,-85.2936911
Côte d’Ivoire,7.9897371,-5.5679458
Cameroon,4.6125522,13.1535811
Congo (the),38.9135156,-77.036899
Costa Rica,10.2735633,-84.0739102
Cuba,23.0131338,-80.8328748
Cyprus,34.9823018,33.1451285
Czech Republic (the),50.0864234,14.4156772
Germany,51.1638175,10.4478313
Djibouti,11.8145966,42.8453061
Algeria,28.0000272,2.9999825
Ecuador,-1.3397668,-79.3666965
Egypt,26.2540493,29.2675469
Spain,39.3260685,-4.8379791
Ethiopia,10.2116702,38.6521203
Fiji,-18.1239696,179.0122737
